Row(tx_hash='bd90ef79e19c183c232ea993333d92746a9d11b08d56b04a0c32a7872e711650', time=1380816697, pubkey='{1Fj8QatpHtV3FuqxhUEeYK8kmGcSN3EN3n}', values=9.999799728393555)
Row(tx_hash='8a6704a2f6f7c59bebf1534f328f73980da03d44a8c64369bb90360129e7ecf9', time=1382367068, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=9.99899959564209)
Row(tx_hash='c3a82e1ec2b9ce98debb930d5eb5a1a8dc2569ccfb5a19d7df429655c0fe3096', time=1324585124, pubkey='{16sd6wwNke2AXMKgmjJ3yMXivmEog8xAfq}', values=9.998000144958496)
Row(tx_hash='83540b7ff6da74fbbc13480f138dd4c40bd9b4450fabe0889d450057e3fcfc09', time=1383645917, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=9.989999771118164)
Row(tx_hash='aa56c1475f18ee388fc10bb73fb25a2f0a1534cfcff276a4bb4981d276b1860c', time=1320774082, pubkey='{16sd6wwNke2AXMKgmjJ3yMXivmEog8xAfq}', values=9.979999542236328)
Row(tx_hash='c0f96a678cf11f128023b78a229f0345b533ae1a22d772466ab749cb43d18088', time=1381368471, pubkey='{1Fj8QatpHtV3FuqxhUEeYK8kmGcSN3EN3n}', values=9.970000267028809)
Row(tx_hash='a08f9028010b4af916dc50e716ef3851e1c9c586e4488eb473f1a4aad382c14f', time=1320784487, pubkey='{16sd6wwNke2AXMKgmjJ3yMXivmEog8xAfq}', values=9.9399995803833)
Row(tx_hash='c47bf632369ac92379b2cc795ed9cb279a01cd4044e4313352653707a417ce77', time=1320600954, pubkey='{16sd6wwNke2AXMKgmjJ3yMXivmEog8xAfq}', values=9.9399995803833)
Row(tx_hash='43a5807001767c9a2e5749b0e34a48f5260338bba0190ba860a821944581d14d', time=1320764110, pubkey='{16sd6wwNke2AXMKgmjJ3yMXivmEog8xAfq}', values=9.899999618530273)
Row(tx_hash='7cf28dd01e498de97772d5c7cee681d91fd63a223ffaeabc1d2fd0fdef9e84b1', time=1384717663, pubkey='{1LMRafbNmzG9H5g3GaAWjhX7wSnCXGNHMs}', values=9.708700180053711)
Row(tx_hash='14973624a443400bdcb7c53f76ac2ec6ab7941dac7764588046f0b5a24ac9cfc', time=1416269842, pubkey='{18ixwb5si3AQBpjkUA91vGE3ESoynXd95g}', values=9.652999870013446e-05)
Row(tx_hash='27034fa353c9cf45c802d8a932f06de6d72c7c2a04dac40bde3cf7a80a83d676', time=1367511712, pubkey='{12N1Z763yEMqKGGXTmWmMunhVim5CggcrX}', values=9.486466407775879)
Row(tx_hash='e9b9b7746a66e6bf8a790bbaf6b54907d6939903e7500c1967a85328887f350f', time=1374462645, pubkey='{1BAhkiEGZuToy5HdyFSTUMAwFwfLkX2M1w}', values=9.409417152404785)
Row(tx_hash='64a48e16a02d62dae659525c068f30b12b107fa91dc6270b1a7b058e2096dc32', time=1386008724, pubkey='{1Fj8QatpHtV3FuqxhUEeYK8kmGcSN3EN3n}', values=9.379605293273926)
Row(tx_hash='b461e69d068d8174691aa36ee47944b4a9e9b152ff9559dea646dd288da1b057', time=1382619836, pubkey='{1BAhkiEGZuToy5HdyFSTUMAwFwfLkX2M1w}', values=9.309771537780762)
Row(tx_hash='6221417f1748825e654dfcc8240e8ab6d17e03b3262cfa832d67e1a344c88466', time=1377975707, pubkey='{1HRFyimD3gw1cZeujv16qbDdkVZzvWUHJ7}', values=9.109999656677246)
Row(tx_hash='458be9f402a3247b17fb6c70131bf1fb3ab9cf68a60dc170f020490098081d92', time=1379661578, pubkey='{1BAhkiEGZuToy5HdyFSTUMAwFwfLkX2M1w}', values=9.0758695602417)
Row(tx_hash='f17dac52731de2b1b25b09d4a0c7b42fe5d96fd37b9809618e0bf08714157da0', time=1377994675, pubkey='{1HRFyimD3gw1cZeujv16qbDdkVZzvWUHJ7}', values=9.0)
Row(tx_hash='4986a734a3e0e42cd130e07fb687d8f7392316e3062b2d17fe59cc5229bdb631', time=1377994675, pubkey='{1HRFyimD3gw1cZeujv16qbDdkVZzvWUHJ7}', values=9.0)
Row(tx_hash='2b22edfd401d800e59956bb4a586616aa13c8674ed95dc4ee4c9263db12093b4', time=1385462575, pubkey='{1GxSaCJxDoSA2rS1fUp9ozQgsV9U64UGSb}', values=9.0)
Row(tx_hash='c20079ca4a978a8b6eea1ba7fc2e3603b91dd73e34b7d381fa527d05ab3be375', time=1383978285, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=85.0)
Row(tx_hash='3b6125274a7297be6c4c5714f779517f2e4ad15c0f602181704cc31a1e567857', time=1377799024, pubkey='{1HZHtdkkrCgTpXzNah1s825SedX1zFj7C8}', values=8.99899959564209)
Row(tx_hash='13183500b115d5ba6c7f12e8561f285108b5f573e5408494c5a5b299b5574344', time=1385965384, pubkey='{1GnBAQXrjsJPtLD41p4nMKWGiJvhtGDwST}', values=8.789349555969238)
Row(tx_hash='dd7047c95cdba7fac32927780785c181ee7c604d6d7d777606154c7ccbb91ee5', time=1414624067, pubkey='{1AjZPMsnmpdK2Rv9KQNfMurTXinscVro9V}', values=8.520698547363281)
Row(tx_hash='a5a0e815997fd757d6b47543537b4f43903dd743ded9e1e41d4e5aa4d5f279f5', time=1384804002, pubkey='{1Jbe1c8Z3k6FeF4q3FhMzjgsqxh91SxRXo}', values=8.377989768981934)
Row(tx_hash='f6d84a32c21ab4513755d8f3ce5a3ac4958b4ca4db65fd201e5b3c7fc38b99a3', time=1392342950, pubkey='{19h9GRcx1ABHPEzVpmWqqA9TTgug6JNcBc}', values=8.324000358581543)
Row(tx_hash='965f7f2f57c784ef252b35963b43596580bb10511373bc0850224dfdc67b399a', time=1409257382, pubkey='{1AjZPMsnmpdK2Rv9KQNfMurTXinscVro9V}', values=8.232589721679688)
Row(tx_hash='7429cd39ee45fa05fdafd70efd220a26f9c436da1b559c159e018505f5f02e0d', time=1382634557, pubkey='{1BAhkiEGZuToy5HdyFSTUMAwFwfLkX2M1w}', values=8.173121452331543)
Row(tx_hash='dd2df4065f8d8a19913f04ecc84682b83f195660f012af66a0c57862f97b3dff', time=1387234846, pubkey='{1LMRafbNmzG9H5g3GaAWjhX7wSnCXGNHMs}', values=8.0)
Row(tx_hash='d1c72f3ec79078931676ffd2d05d457d9f831fe2403f770b8f3f14512421cb1f', time=1379218063, pubkey='{17UYrYUqn4NDfgEq2EHr5qz62WRu4DGraT}', values=8.0)
Row(tx_hash='a2c57e06422bdce1e4ed41f929feb88411ef0446ece679ba4dbebb81dd221d87', time=1396364688, pubkey='{149w62rY42aZBox8fGcmqNsXUzSStKeq8C}', values=8.0)
Row(tx_hash='9410bf0bf781c0acf78185ea839d6d6a1c4a68770d19b69feb15a680e0b85855', time=1378600000, pubkey='{1HRFyimD3gw1cZeujv16qbDdkVZzvWUHJ7}', values=8.0)
Row(tx_hash='abee201ef1efdedd35091ced03a7bb380b3f45460639fd346bef62789a5efc7a', time=1383157304, pubkey='{1N4hjEZd2KEz6d2Cd8JVCfJFvNJAQDtX8P}', values=8.0)
Row(tx_hash='84bad9b26fea41d94d1fbaf5a46562b8e736bda597be9a3944f70892624d5eb7', time=1387363124, pubkey='{1GnBAQXrjsJPtLD41p4nMKWGiJvhtGDwST}', values=8.0)
Row(tx_hash='5b71616ca074eda07385d19374fd08706ec24d65627c0d53c5c62aa1538500de', time=1384825280, pubkey='{1Q62f7bkkd3FUg7RrrEPwPmEZZGQhspNGF}', values=7.999899864196777)
Row(tx_hash='5ce378a19c90d02ad835572117c8825e063dc6d99e12cb39b59246be7e10c4e9', time=1381081348, pubkey='{149w62rY42aZBox8fGcmqNsXUzSStKeq8C}', values=7.999499797821045)
Row(tx_hash='88f87b3c8f0e0a3f6048d9c1c312a359817a694fccb6e7bc9871b7c6b9afec60', time=1387235432, pubkey='{1HFZF6PwHcuremLVrwAUznKRr1VpmTqBrz}', values=7.898799896240234)
Row(tx_hash='259361e4cededc6b005e9f5e84bd8603b4f518de01cc2fc167ecba3479958574', time=1376867863, pubkey='{1HRFyimD3gw1cZeujv16qbDdkVZzvWUHJ7}', values=7.880000114440918)
Row(tx_hash='eb4735d8a7a01474e602b71a656c7fb3962577560e5bb30d6202ad3ed6c328bf', time=1382001093, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.809999942779541)
Row(tx_hash='4ea4eb788016a3a08b13182018dd6973d0253296594d0dd74ba2df300ed2740a', time=1383808868, pubkey='{132ckcKGxofNhZfG7bm9dv8kZGtVpNHwpr}', values=7.733941555023193)
Row(tx_hash='0a96d99254e56d79e859558ea26adf32afb20a6504cde5dec0ef15ad049d03ba', time=1407738309, pubkey='{149w62rY42aZBox8fGcmqNsXUzSStKeq8C}', values=7.679999828338623)
Row(tx_hash='6d107c53ac9522b7b328c88c7786f094e235199b6df5040e87f2b75704b81544', time=1383920429, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.650000095367432)
Row(tx_hash='cc02dd4ba41236fbf04e38ec3de4126971a9c6d588989cd57bd63fd256db309b', time=1382373574, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.639999866485596)
Row(tx_hash='164f48d34169bf2026b06be6f220e48bdcd1a77e1b8937612e5246f4b9ffa57d', time=1374148521, pubkey='{1Hpb5KmRWwseh33e5Jd3Pn7ULSsDix19N2}', values=7.630000114440918)
Row(tx_hash='0256cd808d276024ec76e9215f89319ae2809332bb1039d678d53f6d34594b74', time=1381581808, pubkey='{1Hpb5KmRWwseh33e5Jd3Pn7ULSsDix19N2}', values=7.619122505187988)
Row(tx_hash='4c6f6c8bb6b3da104296051d41e2f6f1b96a5e6eb5c7d6f0db268030dc331688', time=1417633064, pubkey='{149w62rY42aZBox8fGcmqNsXUzSStKeq8C}', values=7.5)
Row(tx_hash='573824c26219da5e99421ee7f32055ece092928b76eaea59a76986cb35b92139', time=1383644803, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.440000057220459)
Row(tx_hash='e9b7935f1ffa7723cc9c9e7426eb34c25f582268e2f0d773fa7f1cfa7927f057', time=1382697350, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.300000190734863)
Row(tx_hash='3791aa607bbc39f291d1fa85a753f8bea03671abf4bd66a38d44f6fe51af887b', time=1381914179, pubkey='{1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc}', values=7.210000038146973)
